,0
SCARB1,2
TIMD4,1
ATP6V1E2,1
MFAP3,1
CNOT7,1
TM2D3,1
CPA6,1
RXFP1,2
ZNF625,1
CLEC4D,3
STMN1,1
MMEL1,1
B3GNT7,1
SDCCAG8,1
UBR5-AS1,1
BTBD19,1
1557472_a_at,1
LINC00271,1
LINC01970,1
AKR1A1,1
BAK1,1
GCA,4
TFF3,4
FEN1,1
ANG,1
TCN1,4
HP,3
CRISP3,5
AMPD3,3
CD24,4
TRIP6,1
ANXA3,4
GABPA,1
CAMP,5
PEBP1,1
SFXN3,4
LARS1,1
OSBPL11,1
CHCHD7,1
SLC25A15,1
CYSTM1,3
KMT2E-AS1,1
TRARG1,1
DZIP1L,1
1552632_a_at,1
KBTBD6,2
ABCA13,3
HTRA4,2
WDR49,2
DNAJA4,1
S100Z,3
1554892_a_at,2
ACY3,3
1555247_a_at,1
LINC02724,1
FAM201A,1
MEIS1,4
RPL10AP6,1
GPX1P1,1
S100A10,1
GLUD1,1
CD59,2
CD99,3
PFKP,2
MMP2,2
LGALS1,1
ATP1B1,2
IVNS1ABP,2
ITGA5,1
DUSP3,1
TIMP1,3
LBR,1
EPCAM,3
CTDSPL,3
LTF,2
SLC6A8,1
DDAH2,2
TACSTD2,3
BASP1,2
DBI,1
SVIL,2
H2BC21,1
IL1R1,1
SLPI,2
FBLN5,1
CCNA2,1
ITPR1,1
CEACAM6,4
WIPI1,2
GCLM,2
MMP9,3
TCN2,1
ENPP4,2
CPOX,1
KIF21B,2
COL17A1,3
HOMER3,4
HHEX,1
MAL,2
HAGH,1
ORM1,4
CLCN4,1
GNA15,2
CFD,3
ANK1,1
HOXB2,2
CD8A,3
S100A12,1
CTSE,4
WT1,3
IL3RA,2
ARG1,2
CA4,2
DAPK2,1
LIN7A,2
BMX,2
CEACAM1,2
APMAP,2
FLT3,3
CEACAM8,3
IL18RAP,3
ALOX12,2
ART4,1
DEFA4,2
PRTN3,3
PGLYRP1,3
PKP2,3
KLRD1,1
PF4V1,3
KRT13,1
PABPC3,2
SOCS5,1
CHIT1,3
TUBB1,1
CD24P4,3
PLXNB2,3
KLF5,3
CHI3L1,3
SYNE1,3
DLK1,3
TCL1A,1
OLR1,3
CD247,1
KCNJ15,1
IRX5,1
210254_at,2
CRISP2,2
CYP4F2,1
210746_s_at,1
210944_s_at,3
ACSL6,1
LRIG1,3
211746_x_at,2
211820_x_at,2
211890_x_at,2
ATP9A,1
LCN2,3
OLFM4,3
HOXA10,3
C12orf29,1
ABHD5,1
GFOD2,2
KLRB1,3
214475_x_at,2
CEBPE,2
CEACAM21,1
DPY19L1P1,2
DNM1,2
TNS3,3
CCNB1IP1,2
UFM1,1
REXO2,1
PHC1,2
SFXN1,1
ATP5IF1,1
ACP6,2
CSGALNACT1,2
219112_at,2
MSRA,2
PCOLCE2,3
BCL11B,1
AHSP,1
EFHC1,1
PSTPIP2,1
SLC2A9,1
LGALSL,3
VPREB3,2
EVA1B,1
SLC25A21,2
RETN,1
TBX21,1
PRG3,2
LBH,2
ADSS2,2
MACIR,1
FBXO41,2
WLS,1
CCNDBP1,1
SSBP4,1
ORMDL3,2
KBTBD7,2
LRRC4,1
MEX3B,2
HEMGN,1
223894_s_at,2
SLC44A2,1
TPRG1L,2
TTC7A,1
STING1,2
ZNF598,1
CPNE2,1
SUSD1,2
SVIP,1
STOX2,1
LRRN1,1
SUSD3,3
EEF1A1,1
RAB37,1
GGTA1,3
228549_at,1
DENND6B,1
MS4A14,3
IGSF10,2
230856_at,1
PCAT6,4
HOXB4,2
GJB6,3
TLCD4,2
RGL4,3
BCL2L15,1
SLC16A14,3
241353_s_at,2
CACNA2D4,2
C20orf197,1
ERVW-1,1
NKX2-3,2
1554517_x_at,2
ETS1,2
WASIR2,3
1569520_at,1
KRT18,3
GYS1,1
201676_x_at,2
HEXB,2
ALDOC,1
TSPO,1
CPNE3,1
202252_at,1
EPS8,2
GARRE1,1
NCK2,1
STS,3
NSUN5P1,1
RAP1GAP,1
MPO,1
GULP1,2
204294_at,2
TMC6,1
AK4,2
S100P,1
HOXB7,3
IL2RB,2
HOXB6,2
HOXB5,3
CTSG,1
REG1B,1
FUT1,1
CD180,1
CLC,1
XCL2,2
NDRG2,2
CYP4F3,2
HOXA7,2
RNASE3,1
ELANE,1
LILRA3,2
LPAR4,3
CST4,1
CDKN2A,1
HTR7,1
207860_at,1
CD8B,1
ACTN1,1
CD34,3
HIP1R,2
TMEM131L,1
VLDLR,1
NRXN2,2
PDE6G,1
CST7,1
RORA,1
CCL23,2
ITK,1
TTC28,1
COL4A5,2
DHRS1,1
NKG7,1
SLITRK5,1
HOXB9,1
MILR1,1
AKTIP,1
ROGDI,1
C11orf95,2
RHBDF1,2
ANO10,1
CACFD1,2
SH2D3A,1
CD177,2
ATG3,1
PLVAP,2
ADGRA2,2
221952_x_at,1
222222_s_at,2
NSUN2,2
ZNRF1,2
CPLX1,2
PKIB,2
ACRBP,2
ARRDC4,2
FAM217B,1
225391_at,1
SLAIN1,2
ZFAT,2
SLC25A42,1
SHANK3,2
DDIT4L,1
OLIG1,1
SDSL,2
ILDR2,3
GLT1D1,1
A1BG,2
ANKRD33B,2
SOCAR,1
HSD11B1-AS1,1
RBP7,1
GLYCTK,1
NPW,2
C5orf17,1
WNT9B,1
SYCP3,1
WDFY4,1
IHO1,1
SLC25A41,1
ERVFRD-1,1
SMIM21,1
CNPY2,1
KIAA0895L,1
KCNJ2-AS1,1
1558977_at,1
1559989_at,1
LINC00540,1
LINC01700,1
1561501_s_at,1
DDX59-AS1,1
MARCHF1,1
LINC01828,1
CDON,1
CHD8,1
LINC01184,1
LINC01858,1
CTTN,2
MMD,1
TPBG,1
MPG,1
RAB11FIP3,1
ZNF195,1
PROM1,1
RAMP1,1
GGCX,1
NPY1R,1
ZNF415,1
ABLIM3,1
PI4KB,1
LTC4S,1
RGS9,1
PTH2R,1
POU4F1,1
SEMA3E,1
TNFRSF9,1
PCDHA9,1
EPB41L1,1
UBE2E1,1
RFNG,1
CHI3L2,1
TENM4,1
RFPL1S,1
ZNF780B,1
RBM34,1
BEX4,1
SPG21,1
TVP23B,1
SLC6A14,1
LY6G5C,1
MARK4,2
RPS6KL1,1
NIN,1
P2RY12,1
FTHL17,1
TMEM18,1
STK11IP,1
C19orf44,1
SLC44A3,1
MAEL,1
LINC00158,1
HOXA13,1
PALD1,1
ADM5,1
232318_s_at,1
ILF3-DT,1
237193_s_at,1
SMIM31,1
AADACL2,1
SFTA2,1
244571_s_at,1
UMODL1,1
NEGR1,1
MAP3K20,1
KDELR1,1
1556747_a_at,1
PCAT18,1
AMN,1
ITPRIPL2,1
TAGLN2P1,1
JUP,1
STOM,1
RCN1,1
FSCN1,1
EPB41L2,1
SPINT1,1
NR1H3,1
PLA2G15,1
RPS6KA4,1
ADA,1
CKM,1
AHDC1,1
NMB,1
KCNH2,1
MN1,1
205837_s_at,1
GYPA,1
CCNA1,1
ATP2C2,1
ADAMDEC1,1
IL11,1
CD300C,1
SERPINI2,1
ARTN,1
NCOR2,1
TRIO,1
208579_x_at,1
ECM1,1
TM4SF1,1
GNAI1,1
PCGF1,1
HESX1,1
RRAS,1
OLFML2A,1
MBOAT2,1
NPTX2,1
HOXA5,1
HOXA1,1
PABPC1,1
DUSP10,1
EGFL7,1
ACSF2,1
DEPTOR,1
BAALC,1
SLC41A3,1
NRIP3,1
ZNF669,1
ARHGEF40,1
PECR,1
KIF17,1
ISYNA1,1
KCNK17,1
DHRS13,1
MANEAL,1
ZNF521,1
SLC27A1,1
ZNF503,1
C8orf58,1
ARHGEF37,1
CPXM1,1
KLHL13,1
SLC45A3,1
MAMDC2,1
ZNF579,1
IRX3,1
PFKP-DT,1
HOXB-AS3,1
TRIM71,1
STYXL2,1
FCRL1,1
RFESD,1
C17orf99,1
ANKRD22,1
PAN3-AS1,1
